Date,High,Low,Open,Close,Volume,Adj Close
2014-08-27,205445,204000,204577,204741,400,204741
2014-08-28,204640,203895,204300,204040,200,204040
2014-08-29,205880,204050,204050,205880,400,205880
2014-09-02,207200,205630,206999,206740,400,206740
2014-09-03,207740,206249,207740,206438,300,206438
2014-09-04,208474,206250,207250,206820,200,206820
2014-09-05,207490,206110,206562,206700,200,206700
2014-09-08,208341,207126,207425,207200,200,207200
2014-09-09,207500,205192,207499,205305,300,205305
2014-09-10,206905,205600,206250,206750,200,206750
2014-09-11,206930,205551,206005,206850,100,206850
2014-09-12,207099,205202,207099,205635,200,205635
2014-09-15,207156,205602,205851,207110,300,207110
2014-09-16,208415,206525,206900,207745,200,207745
2014-09-17,210217,208105,208612,209000,300,209000
2014-09-18,212250,209734,210449,212075,400,212075
2014-09-19,213612,210845,213200,212000,700,212000
2014-09-22,211079,208802,211079,208900,300,208900
2014-09-23,209600,208183,208860,208445,300,208445
2014-09-24,210021,208250,208250,209850,300,209850
2014-09-25,209900,205494,209900,206000,300,206000
2014-09-26,208420,205580,205580,208133,300,208133
2014-09-29,208016,206500,207100,207321,300,207321
2014-09-30,208011,206707,207451,206900,300,206900
2014-10-01,207310,204400,207310,204855,400,204855
2014-10-02,207500,205000,205000,206250,900,206250
2014-10-03,209420,207200,207450,208750,600,208750
2014-10-06,210359,207997,210275,208585,300,208585
2014-10-07,208000,205035,208000,205035,300,205035
2014-10-08,210175,205000,205000,209950,600,209950
2014-10-09,210328,205750,210000,205850,500,205850
2014-10-10,209190,205150,206600,205150,500,205150
2014-10-13,208000,204706,204920,204913,600,204913
2014-10-14,208387,205000,205050,206025,800,206025
2014-10-15,205146,198000,204614,203800,1000,203800
2014-10-16,203345,199195,199400,202000,400,202000
2014-10-17,206437,203569,203995,205505,800,205505
2014-10-20,206207,204700,205303,205850,300,205850
2014-10-21,208400,206270,206890,208330,400,208330
2014-10-22,209000,206385,208805,206525,200,206525
2014-10-23,209124,207646,209000,208109,200,208109
2014-10-24,209251,207535,207579,209251,300,209251
2014-10-27,209410,208000,208447,209222,200,209222
2014-10-28,210580,209279,209500,210570,500,210570
2014-10-29,210900,208400,210725,209600,300,209600
2014-10-30,209813,204700,209250,209030,300,209030
2014-10-31,212300,209095,211028,210000,500,210000
2014-11-03,211310,209000,210835,211100,200,211100
2014-11-04,213250,211600,211900,213000,200,213000
2014-11-05,214799,212795,214799,214155,200,214155
2014-11-06,214935,213400,214821,214800,200,214800
2014-11-07,215925,214326,215226,214970,200,214970
2014-11-10,217500,215814,215899,217500,400,217500
2014-11-11,218400,217214,218400,217352,100,217352
2014-11-12,218544,217045,217875,218101,400,218101
2014-11-13,219366,218370,218656,219300,400,219300
2014-11-14,219817,217646,219331,218023,300,218023
2014-11-17,218545,217098,218545,218540,200,218540
2014-11-18,219610,218275,218540,218868,200,218868
2014-11-19,218799,217576,218799,218544,200,218544
2014-11-20,218609,217300,217800,218250,100,218250
2014-11-21,220369,219400,220300,219935,200,219935
2014-11-24,221130,219455,220575,221052,200,221052
2014-11-25,222000,221100,221315,221725,300,221725
2014-11-26,222451,221965,222299,222411,100,222411
2014-11-28,224070,222669,222705,223065,200,223065
2014-12-01,224671,222361,223100,222525,200,222525
2014-12-02,225000,223020,223800,225000,200,225000
2014-12-03,225900,224350,225900,224485,200,224485
2014-12-04,225215,223915,224950,225215,300,225215
2014-12-05,225981,225021,225650,225640,300,225640
2014-12-08,229374,226150,226285,227800,1000,227800
2014-12-09,226489,223391,226300,225334,1000,225334
2014-12-10,226816,223304,225400,223650,1300,223650
2014-12-11,226836,224180,224180,224800,400,224800
2014-12-12,224750,219000,224000,219000,400,219000
2014-12-15,222519,217178,222121,219073,500,219073
2014-12-16,222980,215500,218215,218460,700,218460
2014-12-17,222800,218427,219000,222800,600,222800
2014-12-18,229300,225299,226700,229300,700,229300
2014-12-19,228495,226294,228152,227886,400,227886
2014-12-22,228680,226795,227651,227720,200,227720
2014-12-23,229000,227530,227840,227630,400,227630
2014-12-24,228520,226515,227900,226515,300,226515
2014-12-26,228070,226500,227301,226500,200,226500
2014-12-29,228350,226500,226500,228165,200,228165
2014-12-30,228285,226550,227351,228255,200,228255
2014-12-31,228870,225403,228180,226000,200,226000
2015-01-02,227470,222735,227230,223600,300,223600
2015-01-05,223595,220000,223595,220980,500,220980
2015-01-06,222870,219266,221110,220450,400,220450
2015-01-07,223536,220000,222500,223480,400,223480
2015-01-08,226949,224000,226124,226680,600,226680
2015-01-09,227500,223968,227500,224675,200,224675
2015-01-12,225495,222083,225495,222424,200,222424
2015-01-13,226420,221802,224849,223000,600,223000
2015-01-14,222577,219779,221005,221878,800,221878
2015-01-15,223000,220839,222505,221510,200,221510
2015-01-16,223779,220105,220990,223615,200,223615
2015-01-20,225441,222208,224000,222636,400,222636
2015-01-21,222500,220000,222039,220895,300,220895
2015-01-22,225214,221020,222495,224915,400,224915
2015-01-23,224800,223680,224800,223751,100,223751
2015-01-26,224517,222432,223900,224184,100,224184
2015-01-27,223154,221450,221961,221511,300,221511
2015-01-28,223100,217160,222700,217160,400,217160
2015-01-29,220380,216340,218000,219998,300,219998
2015-01-30,219900,215865,219900,215865,300,215865
2015-02-02,220100,215151,216001,220100,200,220100
2015-02-03,222695,218925,221800,222183,300,222183
2015-02-04,222754,220815,222000,221027,200,221027
2015-02-05,224863,221800,222195,224560,400,224560
2015-02-06,227450,224376,225000,224880,300,224880
2015-02-09,224545,223209,224545,224000,200,224000
2015-02-10,225820,223389,225250,225140,200,225140
2015-02-11,225340,223339,225099,224393,100,224393
2015-02-12,225540,224020,225000,224460,300,224460
2015-02-13,224186,222030,223890,222555,400,222555
2015-02-17,224000,222486,222950,223300,200,223300
2015-02-18,223600,222380,223460,222800,200,222800
2015-02-19,222560,220730,222251,221495,200,221495
2015-02-20,223100,219940,220721,223100,200,223100
2015-02-23,222800,220294,222800,221000,300,221000
2015-02-24,224010,220960,221200,223405,300,223405
2015-02-25,223970,222680,223970,222855,200,222855
2015-02-26,223420,222000,222946,222250,100,222250
2015-02-27,222250,220860,222250,221180,200,221180
2015-03-02,221900,219000,221900,220365,500,220365
2015-03-03,220580,217936,220580,219000,500,219000
2015-03-04,218500,216500,218500,217612,300,217612
2015-03-05,219822,217500,217735,219500,300,219500
2015-03-06,221353,218645,219475,218811,400,218811
2015-03-09,220845,218899,218900,220500,400,220500
